Hour,Date,X,Y,Z,,,,
,04/05/2025  07:30:00 a. m.,Magnetic Field in Z-Axis : 65449,,,,,,
,04/05/2025  07:40:00 a. m.,Magnetic Field in X-Axis : 65426,,,,,,
,04/05/2025  07:40:00 a. m.,Magnetic Field in Y-Axis : 65354,,,,,,
,04/05/2025  07:40:00 a. m.,Magnetic Field in Z-Axis : 65428,,,,,,
,04/05/2025  07:50:00 a. m.,Magnetic Field in X-Axis : 65402,,,,,,
,04/05/2025  07:50:00 a. m.,Magnetic Field in Y-Axis : 65356,,,,,,
,04/05/2025  07:50:00 a. m.,Magnetic Field in Z-Axis : 65410,,,,,,
,04/05/2025  08:00:00 a. m.,Magnetic Field in X-Axis : 65413,,,,,,
,04/05/2025  08:00:00 a. m.,Magnetic Field in Y-Axis : 65322,,,,,,
,04/05/2025  08:00:00 a. m.,Magnetic Field in Z-Axis : 65364,,,,,,
,04/05/2025  08:10:00 a. m.,Magnetic Field in X-Axis : 65404,,,,,,
,04/05/2025  08:10:00 a. m.,Magnetic Field in Y-Axis : 65345,,,,,,
,04/05/2025  08:10:00 a. m.,Magnetic Field in Z-Axis : 65377,,,,,,
,04/05/2025  08:20:00 a. m.,Magnetic Field in X-Axis : 65406,,,,,,
,04/05/2025  08:20:00 a. m.,Magnetic Field in Y-Axis : 65346,,,,,,
,04/05/2025  08:20:00 a. m.,Magnetic Field in Z-Axis : 65372,,,,,,
,04/05/2025  08:30:00 a. m.,Magnetic Field in X-Axis : 65414,,,,,,
,04/05/2025  08:30:00 a. m.,Magnetic Field in Y-Axis : 65334,,,,,,
,04/05/2025  08:30:00 a. m.,Magnetic Field in Z-Axis : 65453,,,,,,
,04/05/2025  08:40:00 a. m.,Magnetic Field in X-Axis : 65409,,,,,,
,04/05/2025  08:40:00 a. m.,Magnetic Field in Y-Axis : 65332,,,,,,
,04/05/2025  08:40:00 a. m.,Magnetic Field in Z-Axis : 65414,,,,,,
,04/05/2025  08:50:00 a. m.,Magnetic Field in X-Axis : 65430,,,,,,
,04/05/2025  08:50:00 a. m.,Magnetic Field in Y-Axis : 65351,,,,,,
,04/05/2025  08:50:00 a. m.,Magnetic Field in Z-Axis : 65466,,,,,,
,04/05/2025  09:00:00 a. m.,Magnetic Field in X-Axis : 65416,,,,,,
,04/05/2025  09:00:00 a. m.,Magnetic Field in Y-Axis : 65351,,,,,,
,04/05/2025  09:00:00 a. m.,Magnetic Field in Z-Axis : 65367,,,,,,
,04/05/2025  09:10:00 a. m.,Magnetic Field in X-Axis : 65429,,,,,,
,04/05/2025  09:10:00 a. m.,Magnetic Field in Y-Axis : 65356,,,,,,
,04/05/2025  09:10:00 a. m.,Magnetic Field in Z-Axis : 65386,,,,,,
,04/05/2025  09:20:00 a. m.,Magnetic Field in X-Axis : 65406,,,,,,
,04/05/2025  09:20:00 a. m.,Magnetic Field in Y-Axis : 65334,,,,,,
,04/05/2025  09:20:00 a. m.,Magnetic Field in Z-Axis : 65406,,,,,,
,04/05/2025  09:30:00 a. m.,Magnetic Field in X-Axis : 65428,,,,,,
,04/05/2025  09:30:00 a. m.,Magnetic Field in Y-Axis : 65355,,,,,,
,04/05/2025  09:30:00 a. m.,Magnetic Field in Z-Axis : 65376,,,,,,
,04/05/2025  09:40:00 a. m.,Magnetic Field in X-Axis : 65431,,,,,,
,04/05/2025  09:40:00 a. m.,Magnetic Field in Y-Axis : 65326,,,,,,
,04/05/2025  09:40:00 a. m.,Magnetic Field in Z-Axis : 65422,,,,,,
,04/05/2025  09:50:00 a. m.,Magnetic Field in X-Axis : 65418,,,,,,
,04/05/2025  09:50:00 a. m.,Magnetic Field in Y-Axis : 65341,,,,,,
,04/05/2025  09:50:00 a. m.,Magnetic Field in Z-Axis : 65391,,,,,,
,04/05/2025  10:00:00 a. m.,Magnetic Field in X-Axis : 65401,,,,,,
,04/05/2025  10:00:00 a. m.,Magnetic Field in Y-Axis : 65325,,,,,,
,04/05/2025  10:00:00 a. m.,Magnetic Field in Z-Axis : 65391,,,,,,
,04/05/2025  10:10:00 a. m.,Magnetic Field in X-Axis : 65427,,,,,,
,04/05/2025  10:10:00 a. m.,Magnetic Field in Y-Axis : 65339,,,,,,
,04/05/2025  10:10:00 a. m.,Magnetic Field in Z-Axis : 65393,,,,,,
,04/05/2025  10:20:00 a. m.,Magnetic Field in X-Axis : 65429,,,,,,
,04/05/2025  10:20:00 a. m.,Magnetic Field in Y-Axis : 65330,,,,,,
,04/05/2025  10:20:00 a. m.,Magnetic Field in Z-Axis : 65455,,,,,,
,04/05/2025  10:30:00 a. m.,Magnetic Field in X-Axis : 65424,,,,,,
,04/05/2025  10:30:00 a. m.,Magnetic Field in Y-Axis : 65358,,,,,,
,04/05/2025  10:30:00 a. m.,Magnetic Field in Z-Axis : 65425,,,,,,
,04/05/2025  10:40:00 a. m.,Magnetic Field in X-Axis : 65400,,,,,,
,04/05/2025  10:40:00 a. m.,Magnetic Field in Y-Axis : 65320,,,,,,
,04/05/2025  10:40:00 a. m.,Magnetic Field in Z-Axis : 65390,,,,,,
,04/05/2025  10:50:00 a. m.,Magnetic Field in X-Axis : 65429,,,,,,
,04/05/2025  10:50:00 a. m.,Magnetic Field in Y-Axis : 65332,,,,,,
,04/05/2025  10:50:00 a. m.,Magnetic Field in Z-Axis : 65468,,,,,,
,04/05/2025  11:00:00 a. m.,Magnetic Field in X-Axis : 65402,,,,,,
,04/05/2025  11:00:00 a. m.,Magnetic Field in Y-Axis : 65358,,,,,,
,04/05/2025  11:00:00 a. m.,Magnetic Field in Z-Axis : 65433,,,,,,
,04/05/2025  11:10:00 a. m.,Magnetic Field in X-Axis : 65407,,,,,,
,04/05/2025  11:10:00 a. m.,Magnetic Field in Y-Axis : 65346,,,,,,
,04/05/2025  11:10:00 a. m.,Magnetic Field in Z-Axis : 65372,,,,,,
,04/05/2025  11:20:00 a. m.,Magnetic Field in X-Axis : 65429,,,,,,
,04/05/2025  11:20:00 a. m.,Magnetic Field in Y-Axis : 65356,,,,,,
,04/05/2025  11:20:00 a. m.,Magnetic Field in Z-Axis : 65460,,,,,,
,04/05/2025  11:30:00 a. m.,Magnetic Field in X-Axis : 65418,,,,,,
,04/05/2025  11:30:00 a. m.,Magnetic Field in Y-Axis : 65343,,,,,,
,04/05/2025  11:30:00 a. m.,Magnetic Field in Z-Axis : 65442,,,,,,
,04/05/2025  11:40:00 a. m.,Magnetic Field in X-Axis : 65426,,,,,,
,04/05/2025  11:40:00 a. m.,Magnetic Field in Y-Axis : 65351,,,,,,
,04/05/2025  11:40:00 a. m.,Magnetic Field in Z-Axis : 65459,,,,,,
,04/05/2025  11:50:00 a. m.,Magnetic Field in X-Axis : 65423,,,,,,
,04/05/2025  11:50:00 a. m.,Magnetic Field in Y-Axis : 65331,,,,,,
,04/05/2025  11:50:00 a. m.,Magnetic Field in Z-Axis : 65402,,,,,,
,04/05/2025  12:00:00 p. m.,Magnetic Field in X-Axis : 65401,,,,,,
,04/05/2025  12:00:00 p. m.,Magnetic Field in Y-Axis : 65322,,,,,,
,04/05/2025  12:00:00 p. m.,Magnetic Field in Z-Axis : 65476,,,,,,
,04/05/2025  12:10:00 p. m.,Magnetic Field in X-Axis : 65404,,,,,,
,04/05/2025  12:10:00 p. m.,Magnetic Field in Y-Axis : 65336,,,,,,
,04/05/2025  12:10:00 p. m.,Magnetic Field in Z-Axis : 65422,,,,,,
,04/05/2025  12:20:00 p. m.,Magnetic Field in X-Axis : 65416,,,,,,
,04/05/2025  12:20:00 p. m.,Magnetic Field in Y-Axis : 65321,,,,,,
,04/05/2025  12:20:00 p. m.,Magnetic Field in Z-Axis : 65365,,,,,,
,04/05/2025  12:30:00 p. m.,Magnetic Field in X-Axis : 65427,,,,,,
,04/05/2025  12:30:00 p. m.,Magnetic Field in Y-Axis : 65342,,,,,,
,04/05/2025  12:30:00 p. m.,Magnetic Field in Z-Axis : 65464,,,,,,
,04/05/2025  12:40:00 p. m.,Magnetic Field in X-Axis : 65431,,,,,,
,04/05/2025  12:40:00 p. m.,Magnetic Field in Y-Axis : 65352,,,,,,
,04/05/2025  12:40:00 p. m.,Magnetic Field in Z-Axis : 65364,,,,,,
,04/05/2025  12:50:00 p. m.,Magnetic Field in X-Axis : 65418,,,,,,
,04/05/2025  12:50:00 p. m.,Magnetic Field in Y-Axis : 65321,,,,,,
,04/05/2025  12:50:00 p. m.,Magnetic Field in Z-Axis : 65416,,,,,,
,04/05/2025  01:00:00 p. m.,Magnetic Field in X-Axis : 65411,,,,,,
,04/05/2025  01:00:00 p. m.,Magnetic Field in Y-Axis : 65345,,,,,,
,04/05/2025  01:00:00 p. m.,Magnetic Field in Z-Axis : 65395,,,,,,
,04/05/2025  01:10:00 p. m.,Magnetic Field in X-Axis : 65405,,,,,,
,04/05/2025  01:10:00 p. m.,Magnetic Field in Y-Axis : 65351,,,,,,
,04/05/2025  01:10:00 p. m.,Magnetic Field in Z-Axis : 65431,,,,,,
,04/05/2025  01:20:00 p. m.,Magnetic Field in X-Axis : 65422,,,,,,
,04/05/2025  01:20:00 p. m.,Magnetic Field in Y-Axis : 65330,,,,,,
,04/05/2025  01:20:00 p. m.,Magnetic Field in Z-Axis : 65419,,,,,,
,04/05/2025  01:30:00 p. m.,Magnetic Field in X-Axis : 65426,,,,,,
,04/05/2025  01:30:00 p. m.,Magnetic Field in Y-Axis : 65336,,,,,,
,04/05/2025  01:30:00 p. m.,Magnetic Field in Z-Axis : 65401,,,,,,
,04/05/2025  01:40:00 p. m.,Magnetic Field in X-Axis : 65423,,,,,,
,04/05/2025  01:40:00 p. m.,Magnetic Field in Y-Axis : 65324,,,,,,
,04/05/2025  01:40:00 p. m.,Magnetic Field in Z-Axis : 65479,,,,,,
,04/05/2025  01:50:00 p. m.,Magnetic Field in X-Axis : 65401,,,,,,
,04/05/2025  01:50:00 p. m.,Magnetic Field in Y-Axis : 65325,,,,,,
,04/05/2025  01:50:00 p. m.,Magnetic Field in Z-Axis : 65449,,,,,,
,04/05/2025  02:00:00 p. m.,Magnetic Field in X-Axis : 65410,,,,,,
,04/05/2025  02:00:00 p. m.,Magnetic Field in Y-Axis : 65335,,,,,,
,04/05/2025  02:00:00 p. m.,Magnetic Field in Z-Axis : 65460,,,,,,
,04/05/2025  02:10:00 p. m.,Magnetic Field in X-Axis : 65408,,,,,,
,04/05/2025  02:10:00 p. m.,Magnetic Field in Y-Axis : 65325,,,,,,
,04/05/2025  02:10:00 p. m.,Magnetic Field in Z-Axis : 65443,,,,,,
,04/05/2025  02:20:00 p. m.,Magnetic Field in X-Axis : 65428,,,,,,
,04/05/2025  02:20:00 p. m.,Magnetic Field in Y-Axis : 65322,,,,,,
,04/05/2025  02:20:00 p. m.,Magnetic Field in Z-Axis : 65383,,,,,,
,04/05/2025  02:30:00 p. m.,Magnetic Field in X-Axis : 65427,,,,,,
,04/05/2025  02:30:00 p. m.,Magnetic Field in Y-Axis : 65355,,,,,,
,04/05/2025  02:30:00 p. m.,Magnetic Field in Z-Axis : 65382,,,,,,
,04/05/2025  02:40:00 p. m.,Magnetic Field in X-Axis : 65425,,,,,,
,04/05/2025  02:40:00 p. m.,Magnetic Field in Y-Axis : 65322,,,,,,
,04/05/2025  02:40:00 p. m.,Magnetic Field in Z-Axis : 65382,,,,,,
,04/05/2025  02:50:00 p. m.,Magnetic Field in X-Axis : 65419,,,,,,
,04/05/2025  02:50:00 p. m.,Magnetic Field in Y-Axis : 65351,,,,,,
,04/05/2025  02:50:00 p. m.,Magnetic Field in Z-Axis : 65434,,,,,,
,04/05/2025  03:00:00 p. m.,Magnetic Field in X-Axis : 65419,,,,,,
,04/05/2025  03:00:00 p. m.,Magnetic Field in Y-Axis : 65352,,,,,,
,04/05/2025  03:00:00 p. m.,Magnetic Field in Z-Axis : 65403,,,,,,
,04/05/2025  03:10:00 p. m.,Magnetic Field in X-Axis : 65431,,,,,,
,04/05/2025  03:10:00 p. m.,Magnetic Field in Y-Axis : 65358,,,,,,
,04/05/2025  03:10:00 p. m.,Magnetic Field in Z-Axis : 65445,,,,,,
,04/05/2025  03:20:00 p. m.,Magnetic Field in X-Axis : 65407,,,,,,
,04/05/2025  03:20:00 p. m.,Magnetic Field in Y-Axis : 65320,,,,,,
,04/05/2025  03:20:00 p. m.,Magnetic Field in Z-Axis : 65374,,,,,,
,04/05/2025  03:30:00 p. m.,Magnetic Field in X-Axis : 65427,,,,,,
,04/05/2025  03:30:00 p. m.,Magnetic Field in Y-Axis : 65344,,,,,,
,04/05/2025  03:30:00 p. m.,Magnetic Field in Z-Axis : 65413,,,,,,
,04/05/2025  03:40:00 p. m.,Magnetic Field in X-Axis : 65422,,,,,,
,04/05/2025  03:40:00 p. m.,Magnetic Field in Y-Axis : 65350,,,,,,
,04/05/2025  03:40:00 p. m.,Magnetic Field in Z-Axis : 65457,,,,,,
,04/05/2025  03:50:00 p. m.,Magnetic Field in X-Axis : 65409,,,,,,
,04/05/2025  03:50:00 p. m.,Magnetic Field in Y-Axis : 65354,,,,,,
,04/05/2025  03:50:00 p. m.,Magnetic Field in Z-Axis : 65370,,,,,,
,04/05/2025  04:00:00 p. m.,Magnetic Field in X-Axis : 65427,,,,,,
,04/05/2025  04:00:00 p. m.,Magnetic Field in Y-Axis : 65335,,,,,,
,04/05/2025  04:00:00 p. m.,Magnetic Field in Z-Axis : 65453,,,,,,
,04/05/2025  04:10:00 p. m.,Magnetic Field in X-Axis : 65415,,,,,,
,04/05/2025  04:10:00 p. m.,Magnetic Field in Y-Axis : 65321,,,,,,
,04/05/2025  04:10:00 p. m.,Magnetic Field in Z-Axis : 65364,,,,,,
,04/05/2025  04:20:00 p. m.,Magnetic Field in X-Axis : 65415,,,,,,
,04/05/2025  04:20:00 p. m.,Magnetic Field in Y-Axis : 65331,,,,,,
,04/05/2025  04:20:00 p. m.,Magnetic Field in Z-Axis : 65432,,,,,,
,04/05/2025  04:30:00 p. m.,Magnetic Field in X-Axis : 65404,,,,,,
,04/05/2025  04:30:00 p. m.,Magnetic Field in Y-Axis : 65351,,,,,,
,04/05/2025  04:30:00 p. m.,Magnetic Field in Z-Axis : 65372,,,,,,
,04/05/2025  04:40:00 p. m.,Magnetic Field in X-Axis : 65408,,,,,,
,04/05/2025  04:40:00 p. m.,Magnetic Field in Y-Axis : 65354,,,,,,
,04/05/2025  04:40:00 p. m.,Magnetic Field in Z-Axis : 65382,,,,,,
,04/05/2025  04:50:00 p. m.,Magnetic Field in X-Axis : 65415,,,,,,
,04/05/2025  04:50:00 p. m.,Magnetic Field in Y-Axis : 65335,,,,,,
,04/05/2025  04:50:00 p. m.,Magnetic Field in Z-Axis : 65366,,,,,,
,04/05/2025  05:00:00 p. m.,Magnetic Field in X-Axis : 65419,,,,,,
,04/05/2025  05:00:00 p. m.,Magnetic Field in Y-Axis : 65343,,,,,,
,04/05/2025  05:00:00 p. m.,Magnetic Field in Z-Axis : 65417,,,,,,
,04/05/2025  05:10:00 p. m.,Magnetic Field in X-Axis : 65423,,,,,,
