Date,Time,X,Y,Z,Magnitud,Dias Restantes,Gas_%
2025-08-05,12:00:00,65418,65330,65421,113258.2486,13.716283817718297,41.941620000000206
2025-08-05,12:10:00,65422,65345,65461,113292.3194,14.0876927449339,43.0773133333331
2025-08-05,12:20:00,65413,65353,65392,113251.8823,13.646884195363178,41.729409999999916
2025-08-05,12:30:00,65403,65336,65462,113276.7353,13.917809036226732,42.557843333333345
2025-08-05,12:40:00,65412,65358,65378,113246.1072,13.583929298631569,41.53690666666662
2025-08-05,12:50:00,65422,65348,65392,113254.1957,13.672102781725123,41.80652333333322
2025-08-05,13:00:00,65410,65351,65365,113233.4073,13.445486519631828,41.11357666666687
2025-08-05,13:10:00,65414,65333,65447,113272.6891,13.87370103755047,42.42297000000011
2025-08-05,13:20:00,65421,65330,65390,113242.078,13.540006618520174,41.4025999999998
2025-08-05,13:30:00,65402,65336,65471,113281.3592,13.968214595783744,42.71197333333354
2025-08-05,13:40:00,65423,65347,65456,113291.1615,14.075070370442553,43.03871666666673
2025-08-05,13:50:00,65420,65335,65464,113287.1304,14.03112697825622,42.904346666666484
2025-08-05,14:00:00,65426,65339,65369,113238.0349,13.495932413229301,41.267829999999954
2025-08-05,14:10:00,65418,65324,65366,113223.0262,13.332321192890914,40.76753999999976
2025-08-05,14:20:00,65426,65320,65421,113257.1018,13.70378244534865,41.90339333333347
2025-08-05,14:30:00,65427,65357,65378,113254.1949,13.672094060851542,41.806496666666746
2025-08-05,14:40:00,65401,65354,65427,113265.7426,13.797976601584589,42.19141999999992
2025-08-05,14:50:00,65416,65344,65387,113245.5348,13.577689513538763,41.517826666666465
2025-08-05,15:00:00,65411,65337,65378,113233.411,13.445526853672288,41.11369999999976
2025-08-05,15:10:00,65411,65335,65390,113239.186,13.508480660294795,41.30620000000005
2025-08-05,15:20:00,65407,65344,65380,113236.2945,13.47696015261539,41.20981666666679
2025-08-05,15:30:00,65428,65327,65442,113274.4255,13.892629693796147,42.48084999999992
2025-08-05,15:40:00,65426,65326,65366,113228.8025,13.395289170933134,40.96008333333351
2025-08-05,15:50:00,65428,65343,65423,113272.6788,13.873588756302194,42.422626666666474
2025-08-05,16:00:00,65425,65322,65383,113235.732,13.470828288333985,41.191066666666785
2025-08-05,16:10:00,65413,65334,65388,113238.6094,13.502195090615404,41.28698000000004
2025-08-05,16:20:00,65429,65333,65434,113273.842,13.886268906581643,42.46140000000014
2025-08-05,16:30:00,65416,65339,65463,113286.5497,14.024796714099494,42.88499000000011
2025-08-05,16:40:00,65408,65357,65411,113262.2745,13.760170524225787,42.07581666666665
2025-08-05,16:50:00,65424,65341,65365,113235.7244,13.470745440034394,41.19081333333355
2025-08-05,17:00:00,65423,65327,65374,113232.2645,13.43302875163041,41.07548333333349
2025-08-05,17:10:00,65431,65332,65444,113280.1974,13.955549707033265,42.67324666666682
2025-08-05,17:20:00,65407,65340,65381,113234.5637,13.458092542485108,41.15212333333329
2025-08-05,17:30:00,65429,65337,65473,113298.682,14.157052033248403,43.28940000000002
2025-08-05,17:40:00,65414,65350,65401,113255.9257,13.690961670981823,41.864190000000235
2025-08-05,17:50:00,65431,65330,65408,113258.2497,13.716295808919494,41.941656666666674
2025-08-05,18:00:00,65424,65352,65465,113299.8231,14.169491269393239,43.32743666666647
2025-08-05,18:10:00,65408,65327,65374,113223.5986,13.338560977983722,40.78661999999992
2025-08-05,18:20:00,65421,65343,65404,113257.6625,13.709894687664372,41.922083333333525
2025-08-05,18:30:00,65416,65331,65409,113250.7391,13.63442206692505,41.69130333333354
2025-08-05,18:40:00,65431,65334,65443,113280.7732,13.961826555838917,42.69243999999986
2025-08-05,18:50:00,65421,65341,65455,113285.968,14.018455548850511,42.86559999999978
2025-08-05,19:00:00,65419,65352,65437,113280.7593,13.961675030659443,42.69197666666684
2025-08-05,19:10:00,65407,65351,65477,113296.3653,14.13179747328271,43.21217666666683
2025-08-05,19:20:00,65427,65352,65365,113243.8054,13.55883716493745,41.460179999999916
2025-08-05,19:30:00,65400,65352,65468,113287.6998,14.037334060072892,42.92332666666674
2025-08-05,19:40:00,65412,65349,65396,113251.3062,13.640604076229911,41.71020666666688
2025-08-05,19:50:00,65412,65345,65385,113242.65,13.546242043176111,41.421666666666475
2025-08-05,20:00:00,65406,65321,65401,113234.5737,13.45820155340561,41.15245666666645
2025-08-05,20:10:00,65406,65345,65409,113253.0403,13.659507659963783,41.76800999999978
2025-08-05,20:20:00,65425,65334,65461,113287.7076,14.03741908859084,42.92358666666647
2025-08-05,20:30:00,65409,65359,65438,113279.601,13.949048295731064,42.6533666666665
2025-08-05,20:40:00,65428,65322,65369,113229.3824,13.401610714216279,40.97941333333341
2025-08-05,20:50:00,65408,65325,65436,113258.2544,13.716347044052213,41.94181333333351
2025-08-05,21:00:00,65406,65350,65395,113247.8404,13.60282307138276,41.59468000000003
2025-08-05,21:10:00,65408,65331,65371,113224.1744,13.344837826789535,40.805813333333454
2025-08-05,21:20:00,65407,65347,65425,113264.0132,13.779124252983276,42.13377333333337
2025-08-05,21:30:00,65419,65326,65438,113266.3396,13.804484553542016,42.21132000000022
2025-08-05,21:40:00,65419,65335,65367,113230.528,13.414099005275474,41.01760000000019
2025-08-05,21:50:00,65405,65341,65389,113238.6048,13.502144945591944,41.2868266666667
2025-08-05,22:00:00,65430,65322,65404,113250.7475,13.634513636098225,41.691583333333256
2025-08-05,22:10:00,65427,65333,65438,113274.9975,13.898865118452083,42.499916666666586
2025-08-05,22:20:00,65417,65331,65450,113275.0014,13.898907632711058,42.50004666666646
2025-08-05,22:30:00,65411,65332,65388,113236.3002,13.477022288840045,41.210006666666594
2025-08-05,22:40:00,65412,65338,65418,113257.6651,13.709923030503637,41.922169999999944
2025-08-05,22:50:00,65413,65355,65408,113262.2755,13.760181425317887,42.075850000000116
2025-08-05,23:00:00,65407,65348,65416,113259.3917,13.728744856047172,41.9797233333331
2025-08-05,23:10:00,65422,65351,65414,113268.6306,13.829458955441893,42.2876866666668
2025-08-05,23:20:00,65411,65337,65433,113265.1755,13.791794592279729,42.17251666666659
2025-08-05,23:30:00,65417,65338,65385,113241.4957,13.533658912616122,41.38318999999998
2025-08-05,23:40:00,65404,65351,65419,113261.123,13.74761791672358,42.03743333333356
2025-08-05,23:50:00,65408,65322,65391,113230.5305,13.41412625800548,41.01768333333312
2025-09-05,00:00:00,65409,65354,65424,113268.6293,13.829444784022183,42.28764333333335
2025-09-05,00:10:00,65428,65334,65460,113288.8624,14.050007669696956,42.96207999999994
2025-09-05,00:20:00,65406,65331,65412,113246.6959,13.590346771524919,41.5565300000002
2025-09-05,00:30:00,65429,65340,65394,113254.7786,13.678457028284559,41.8259533333335
2025-09-05,00:40:00,65425,65343,65383,113247.8475,13.602900469136383,41.594916666666784
2025-09-05,00:50:00,65404,65323,65455,113265.7696,13.798270931070117,42.19231999999999
2025-09-05,01:00:00,65411,65339,65423,113260.5526,13.74139993381481,42.01841999999984
2025-09-05,01:10:00,65423,65351,65468,113300.4023,14.175805181912056,43.346743333333386
2025-09-05,01:20:00,65403,65353,65463,113287.1192,14.031004886025265,42.90397333333337
2025-09-05,01:30:00,65401,65334,65397,113236.8755,13.483293687099728,41.229183333333154
2025-09-05,01:40:00,65403,65325,65402,113235.726,13.470762881781557,41.1908666666665
2025-09-05,01:50:00,65409,65331,65366,113221.8654,13.319667205232532,40.728846666666506
2025-09-05,02:00:00,65412,65337,65403,113248.4248,13.609193669580103,41.61415999999978
2025-09-05,02:10:00,65420,65334,65460,113284.2423,13.999643534289817,42.8080766666666
2025-09-05,02:20:00,65402,65345,65371,113228.7873,13.395123474333788,40.95957666666654
2025-09-05,02:30:00,65403,65349,65450,113277.3001,13.923965973019786,42.57666999999977
2025-09-05,02:40:00,65409,65333,65441,113266.335,13.804434408518558,42.211166666666884
2025-09-05,02:50:00,65401,65356,65432,113269.7849,13.842042086001879,42.32616333333329
2025-09-05,03:00:00,65405,65333,65466,113278.4713,13.936733332035699,42.615710000000156
2025-09-05,03:10:00,65424,65339,65365,113234.5703,13.458164489692763,41.152343333333555
2025-09-05,03:20:00,65406,65325,65380,113224.7537,13.351152829417448,40.825123333333366
2025-09-05,03:30:00,65426,65344,65391,113253.6211,13.665839014229924,41.78737000000013
2025-09-05,03:40:00,65401,65354,65464,113287.1194,14.03100706624362,42.90397999999986
2025-09-05,03:50:00,65404,65320,65403,113233.9968,13.4519127133986,41.13322666666645
2025-09-05,04:00:00,65411,65355,65408,113261.1205,13.747590663993417,42.03735000000015
2025-09-05,04:10:00,65422,65350,65374,113244.9578,13.571399583422657,41.49859333333346
2025-09-05,04:20:00,65409,65322,65377,113223.0237,13.332293940160909,40.76745666666684
2025-09-05,04:30:00,65415,65329,65456,113276.1599,13.91153654785779,42.53866333333329
2025-09-05,04:40:00,65409,65331,65457,113274.4265,13.892640594888245,42.48088333333338
2025-09-05,04:50:00,65408,65320,65368,113216.0955,13.25676899417961,40.53651666666653
2025-09-05,05:00:00,65419,65327,65406,113248.4319,13.609271067333728,41.61439666666653
2025-09-05,05:10:00,65411,65320,65420,113247.8597,13.603033462459436,41.59532333333336
2025-09-05,05:20:00,65431,65339,65391,113253.6249,13.66588043837964,41.787496666666506
2025-09-05,05:30:00,65424,65356,65410,113270.3607,13.848318934807692,42.345356666666824
2025-09-05,05:40:00,65404,65331,65400,113238.6099,13.502200541161372,41.286996666666525
2025-09-05,05:50:00,65416,65347,65474,113297.5205,14.144390414825537,43.25068333333329
